StateAbbr,PlaceName,PlaceFIPS,Population2010,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CASTHMA_AdjPrev,CASTHMA_Adj95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,SLEEP_AdjPrev,SLEEP_Adj95CI,Geolocation,UseForStateMap_GEO_ID,UseForStateMap_StateNumber,UseForStateMap_StateName,UseForStateMap_CityName
RI,Providence,"4459000","178,042","12.3","(12.2, 12.4)","12.1","(12.0, 12.2)","41.1","(40.9, 41.4)","41.6","(41.4, 41.8)","(41.82348053300, -71.4218129335)",0400000US44,"44",Rhode Island,Warwick
RI,Warwick,"4474300","82,672","11.5","(11.4, 11.7)","11.6","(11.4, 11.8)","35.7","(35.3, 36.1)","36.3","(35.9, 36.7)","(41.70647273010, -71.4345615049)",0400000US44,"44",Rhode Island,Warwick
SC,Charleston,"4513330","120,083","9.2","( 9.1,  9.3)","9.1","( 9.0,  9.2)","32.6","(32.3, 32.9)","33.2","(32.9, 33.4)","(32.81369618920, -79.9673818990)",0400000US45,"45",South Carolina,Rock Hill
SC,Columbia,"4516000","129,272","10","( 9.9, 10.1)","9.8","( 9.7,  9.9)","37.6","(37.2, 38.0)","38.5","(38.2, 38.8)","(34.03660695660, -80.9037852694)",0400000US45,"45",South Carolina,Rock Hill
SC,Mount Pleasant,"4548535","67,843","8.2","( 8.0,  8.4)","8.2","( 8.0,  8.4)","29.5","(28.9, 30.1)","29.2","(28.5, 29.8)","(32.85382745840, -79.8230343029)",0400000US45,"45",South Carolina,Rock Hill
SC,North Charleston,"4550875","97,471","10.5","(10.4, 10.6)","10.3","(10.2, 10.4)","39.1","(38.8, 39.4)","38.8","(38.5, 39.0)","(32.91009150710, -80.0738525014)",0400000US45,"45",South Carolina,Rock Hill
SC,Rock Hill,"4561405","66,154","10.3","(10.2, 10.5)","10.2","(10.0, 10.3)","40.8","(40.4, 41.1)","40.9","(40.5, 41.2)","(34.94036114960, -81.0249178286)",0400000US45,"45",South Carolina,Rock Hill
SD,Rapid City,"4652980","67,956","8.9","( 8.8,  9.0)","8.9","( 8.8,  9.1)","26.4","(26.1, 26.7)","27","(26.6, 27.3)","(44.07050095640, -103.218361421)",0400000US46,"46",South Dakota,Sioux Falls
SD,Sioux Falls,"4659020","153,888","8.3","( 8.2,  8.4)","8.3","( 8.2,  8.4)","27.2","(26.9, 27.4)","27.1","(26.8, 27.4)","(43.53880675370, -96.7313495858)",0400000US46,"46",South Dakota,Sioux Falls
TN,Chattanooga,"4714000","167,674","11.1","(11.0, 11.2)","11.1","(11.0, 11.2)","39.7","(39.4, 39.9)","40.3","(40.1, 40.6)","(35.06624721650, -85.2466771892)",0400000US47,"47",Tennessee,Nashville
TN,Clarksville,"4715160","132,929","10.5","(10.4, 10.7)","10.4","(10.3, 10.5)","41.7","(41.4, 42.0)","41.3","(41.0, 41.5)","(36.56968315900, -87.3432371614)",0400000US47,"47",Tennessee,Nashville
TN,Knoxville,"4740000","178,874","10.7","(10.5, 10.8)","10.5","(10.4, 10.6)","36.8","(36.5, 37.1)","37.4","(37.2, 37.7)","(35.96905945310, -83.9495877264)",0400000US47,"47",Tennessee,Nashville
TN,Memphis,"4748000","646,889","11.2","(11.1, 11.3)","11.1","(11.0, 11.2)","41.1","(41.0, 41.2)","41.1","(40.9, 41.2)","(35.10462950420, -89.9789060850)",0400000US47,"47",Tennessee,Nashville
TN,Murfreesboro,"4751560","108,755","10","( 9.8, 10.1)","9.7","( 9.6,  9.8)","37.8","(37.4, 38.3)","37.7","(37.4, 38.1)","(35.85077819500, -86.4086282380)",0400000US47,"47",Tennessee,Nashville
TN,Nashville,"4752006","601,222","10.3","(10.2, 10.4)","10.2","(10.2, 10.3)","39.6","(39.5, 39.8)","39.4","(39.3, 39.5)","(36.17122299040, -86.7845944773)",0400000US47,"47",Tennessee,Nashville
TX,Abilene,"4801000","117,063","8.8","( 8.7,  9.0)","8.7","( 8.7,  8.8)","33.2","(32.9, 33.5)","33.9","(33.6, 34.1)","(32.45465108980, -99.7383043723)",0400000US48,"48",Texas,Wichita Falls
TX,Allen,"4801924","84,246","7.7","( 7.5,  7.8)","7.6","( 7.5,  7.7)","33.3","(32.7, 33.8)","31.8","(31.3, 32.3)","(33.10870432340, -96.6735373763)",0400000US48,"48",Texas,Wichita Falls
TX,Amarillo,"4803000","190,695","8.9","( 8.8,  8.9)","8.8","( 8.7,  8.9)","34.1","(33.9, 34.3)","34.2","(34.0, 34.4)","(35.20038355440, -101.828292514)",0400000US48,"48",Texas,Wichita Falls
TX,Arlington,"4804000","365,438","9","( 8.9,  9.1)","8.9","( 8.8,  8.9)","36.9","(36.7, 37.0)","36.3","(36.1, 36.5)","(32.69983686200, -97.1250896120)",0400000US48,"48",Texas,Wichita Falls
TX,Austin,"4805000","790,390","8.1","( 8.1,  8.2)","8","( 8.0,  8.0)","29.7","(29.6, 29.9)","29.1","(29.0, 29.2)","(30.30686103420, -97.7554771245)",0400000US48,"48",Texas,Wichita Falls
TX,Baytown,"4806128","71,802","8.6","( 8.5,  8.7)","8.5","( 8.4,  8.6)","35.2","(34.9, 35.4)","35.1","(34.9, 35.3)","(29.75711530430, -94.9676276217)",0400000US48,"48",Texas,Wichita Falls
TX,Beaumont,"4807000","118,296","9.8","( 9.7,  9.9)","9.7","( 9.6,  9.8)","37.7","(37.4, 38.0)","38.1","(37.8, 38.3)","(30.08441664700, -94.1441072222)",0400000US48,"48",Texas,Wichita Falls
TX,Brownsville,"4810768","175,023","8.1","( 8.0,  8.2)","8","( 7.9,  8.2)","35","(34.7, 35.3)","35","(34.7, 35.3)","(25.99819778610, -97.4566343763)",0400000US48,"48",Texas,Wichita Falls
TX,Bryan,"4810912","76,201","9.1","( 9.0,  9.3)","9","( 8.9,  9.2)","36.4","(36.0, 36.8)","36.8","(36.4, 37.1)","(30.66656875820, -96.3663819223)",0400000US48,"48",Texas,Wichita Falls
TX,Carrollton,"4813024","119,097","8.2","( 8.1,  8.3)","8.1","( 8.0,  8.2)","32","(31.8, 32.3)","31.3","(31.0, 31.5)","(32.98843845900, -96.9001374330)",0400000US48,"48",Texas,Wichita Falls
TX,College Station,"4815976","93,857","8.9","( 8.7,  9.2)","8.1","( 8.0,  8.2)","33.4","(32.8, 34.0)","34.2","(33.8, 34.5)","(30.58676158010, -96.2957958614)",0400000US48,"48",Texas,Wichita Falls
TX,Corpus Christi,"4817000","305,215","8","( 8.0,  8.1)","8","( 7.9,  8.0)","33.9","(33.8, 34.1)","34.1","(33.9, 34.2)","(27.72915883370, -97.4019095379)",0400000US48,"48",Texas,Wichita Falls
TX,Dallas,"4819000","1,197,816","9.3","( 9.2,  9.3)","9.2","( 9.2,  9.3)","34.7","(34.6, 34.8)","34.3","(34.2, 34.3)","(32.79398040660, -96.7656929463)",0400000US48,"48",Texas,Wichita Falls
TX,Denton,"4819972","113,383","9","( 8.9,  9.2)","8.6","( 8.5,  8.8)","31","(30.7, 31.4)","31.3","(31.0, 31.6)","(33.21561604430, -97.1412438684)",0400000US48,"48",Texas,Wichita Falls
TX,Edinburg,"4822660","77,100","7.5","( 7.3,  7.8)","7.4","( 7.3,  7.7)","33","(32.4, 33.6)","32.8","(32.2, 33.3)","(26.31558439740, -98.1637130371)",0400000US48,"48",Texas,Wichita Falls
TX,El Paso,"4824000","649,121","7.7","( 7.6,  7.7)","7.6","( 7.6,  7.7)","36.7","(36.6, 36.9)","36.9","(36.7, 37.0)","(31.84811235060, -106.432021874)",0400000US48,"48",Texas,Wichita Falls
TX,Fort Worth,"4827000","741,206","9.1","( 9.1,  9.2)","9.1","( 9.0,  9.1)","37.2","(37.0, 37.3)","36.6","(36.5, 36.7)","(32.78019280400, -97.3470323225)",0400000US48,"48",Texas,Wichita Falls
TX,Frisco,"4827684","116,989","7.6","( 7.5,  7.7)","7.6","( 7.5,  7.7)","31.5","(31.2, 31.8)","29.9","(29.6, 30.2)","(33.15075451520, -96.8201336312)",0400000US48,"48",Texas,Wichita Falls
TX,Garland,"4829000","226,876","9","( 8.9,  9.1)","8.9","( 8.9,  9.0)","34.2","(34.0, 34.3)","33.7","(33.6, 33.9)","(32.91007998670, -96.6304258603)",0400000US48,"48",Texas,Wichita Falls
